path,bugs,code_smells,reliability_rating,security_hotspots,vulnerabilities,complexity,cognitive_complexity,duplicated_lines,sqale_debt_ratio
/home/ota/metrics_analyze/repos/IUTSmartMining/sample_sensor_kit_laun,0,4,1.0,4,0,27,12,196,0.0
/home/ota/metrics_analyze/repos/IUTSmartMining/sample_sensor_kit_launch_prototy,0,3,1.0,4,0,24,12,196,0.0
/home/ota/metrics_analyze/repos/IUTSmartMining/ars408_driv,0,2,1.0,3,0,,,0,0.5
/home/ota/metrics_analyze/repos/IUTSmartMining/autoware_individual_params_prototy,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/astri-inm-sm/livox_ros_drive,0,5,1.0,0,0,6,0,123,0.2
/home/ota/metrics_analyze/repos/astri-inm-sm/hunter_se_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/astri-inm-sm/hunter_se_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/astri-inm-sm/autoware_launch.hunter_,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/astri-inm-sm/hunter_se_sensor_kit_laun,0,10,1.0,2,0,23,12,274,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/pix_vehicle_interfa,0,16,1.0,0,0,153,128,0,0.2
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/sample_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware_adapi_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware_laun,0,3,1.0,0,0,2,0,0,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/tamagawa_imu_driv,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/ndt_o,0,0,1.0,0,0,12,24,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/nebu,0,6,1.0,3,0,95,106,0,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/tier4_ad_api_adapt,0,1,1.0,0,0,5,0,0,0.2
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware_comm,0,15,1.0,0,0,42,22,0,1.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/nmea_navsat_driv,0,9,1.0,1,0,75,124,0,0.5
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/muS,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware.co,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/sample_sensor_kit_laun,0,4,1.0,1,0,14,7,0,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/MORAI-ROS2_morai_ms,0,2,1.0,0,0,,,0,1.9
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/RS_LiD,0,1,1.0,0,0,2,0,0,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/ament_cma,0,2,1.0,0,0,135,217,0,0.3
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/sensor_component_descripti,0,1,1.0,0,0,1,0,0,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/pointcloud_to_lasersc,0,1,1.0,0,0,2,0,0,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/transport_drive,0,0,1.0,0,0,1,0,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/rtklib_ros_brid,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/eagle,0,49,1.0,0,0,229,334,205,0.6
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/tier4_autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware_auto_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/autoware.univer,1,112,3.0,11,1,805,575,1715,0.1
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/llh_convert,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/AVGTeam-OperakitB/awsim_sensor_kit_laun,0,6,1.0,0,0,11,3,0,0.3
